"Answer__c","ArticleNumber","ArticleMasterLanguage","Content_Category__c","Description__c","FirstPublishedDate","Language","LargeLanguageModel","LastPublishedDate","PublishStatus","RecordTypeId","Summary","Title","ValidationStatus","Owner.RecordTypeId","Owner.Title"
"","000001354","en_US","Archive","<p>Tsting</p>","2025-09-23T18:33:41.000Z","en_US","","2025-09-23T18:33:41.000Z","Online","0124v000000AZIUAA4","","Testing Publishing","Not Validated","","Technical Lead: Americas"
"","000001323","en_US","Reuters.com","<div class=""slds-grid slds-size_1-of-1 label-stacked"" style=""box-sizing: border-box;display: flex;width: 1192.88px;flex: 0 0 auto;height: 57px;"">
<div class=""slds-form-element slds-hint-parent test-id__output-root slds-form-element_readonly is-stacked is-stacked-not-editing slds-form-element_edit"" style=""box-sizing: border-box;min-width: 0px;flex-basis: 100%;margin-bottom: 0px;width: 1192.88px;display: block;"">
<div class=""slds-form-element__control"" style=""box-sizing: border-box;clear: left;padding-top: var(--lwc-spacingXxxSmall,0.125rem);padding-bottom: var(--lwc-spacingXxxSmall,0.125rem);"">
<div class=""outputRichText"" style=""box-sizing: border-box;overflow: auto;""><span style=""font-size: 16px;font-family: arial, helvetica, sans-serif;"">This document provides step-by-step guidance on assisting customers requesting a password reset for the Insurer Portal.</span></div>
</div>
</div>
</div>","2025-03-05T18:51:46.000Z","en_US","","2025-09-23T17:43:43.000Z","Online","0124v000000AZIUAA4","","The Insurer - Password reset","Not Validated","","Support Operations Manager"
"","000001100","en_US","Reuters Connect","<span style=""font-family: Arial,Helvetica,sans-serif;""><span style=""font-size: 11pt;""><span style=""line-height: 107%;"">This article outlines the process for adding Points Overages to Reuters Connect clients.</span></span></span>","2022-03-14T16:36:05.000Z","en_US","","2025-09-23T17:33:15.000Z","Online","0124v000000AZIUAA4","","GPDB | Emergency Points Overage Process","Not Validated","","Helpdesk Analyst"
"<span style=""font-size: 16px;""><span style=""font-family: Arial,Helvetica,sans-serif;"">To remove content from the new reuters.com portal, Frontline Support can take action, but approval from the designated approvers is required. It&#39;s important to note that the articles may still appear on the website for a period of 15 to 30 minutes before being fully removed.</span></span>","000001285","en_US","Reuters.com","<span style=""font-size: 16px;""><span style=""font-family: Arial,Helvetica,sans-serif;""><span style=""background: white;""><span style=""line-height: 107%;""><span style=""color: #181818;"">Article details: This document provides the steps to hide an article whenever we request to “Kill” or hide a story from the Editorial Team.<br>In reality, articles are never deleted; they will remain in our database but will not be visible on </span></span></span><span style=""line-height: 107%;""><a href=""http://reuters.com/"" style=""color: blue;text-decoration: underline;"" target=""_blank"">Reuters.com</a></span><span style=""background: white;""><span style=""line-height: 107%;""><span style=""color: #181818;"">.</span></span></span><br><br><b><span style=""background: white;""><span style=""line-height: 107%;""><span style=""color: red;"">IMPORTANT</span></span></span></b><br><span style=""line-height: 107%;""><span style=""color: #181818;""><span style=""background: white;"">The editors themselves should be able to accomplish this task; however, it is always beneficial to maintain a regular practice</span></span></span></span></span>","2024-07-04T12:55:56.000Z","en_US","","2025-09-17T16:45:34.000Z","Online","0124v000000AZIUAA4","","RCOM | [Editorial] Hiding Reuters.com Articles on ARC (On the new reuters.com)","Not Validated","","Helpdesk Analyst"
"","000001351","en_US","Other","<p><span style=""color: #181818;font-family: arial, helvetica, sans-serif;font-size: 16px;white-space: normal;background-color: #ffffff;float: none;display: inline;"">This Article provides information on how to set up automated notifications for your teams whenever you receive an email based on the preferred parameters.</span></p>","2025-08-30T14:39:22.000Z","en_US","","2025-08-30T14:39:22.000Z","Archived","0124v000000AZIUAA4","","SF Case replies - Automating Teams Notifications from Outlook Emails Using Power Automate","Not Validated","","Helpdesk Analyst"
"","000001350","en_US","Other","<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">This Article provides information on how to set up automated notifications for your teams whenever you receive an email based on the preferred parameters.</span></p>
<p> </p>","2025-08-27T19:33:43.000Z","en_US","","2025-08-30T14:23:22.000Z","Archived","0124v000000AZIUAA4","","ServiceNow - Automating Teams Notifications from Outlook Emails Using Power Automate","Not Validated","","Helpdesk Analyst"
"","000001271","en_US","Other","<p><span style=""font-size: 16px;""><span style=""font-family: Arial,Helvetica,sans-serif;"">This Document provides the information about how and where to escalate a ticket when an LSEG Representative contacts Support for assistance in content or integrations for LSEG like HMDS, EIKON/Workspace, UCDP Distributors, UCDP Onboarders, and others.</span></span></p>","2024-02-07T20:00:22.000Z","en_US","","2025-08-22T14:13:43.000Z","Online","0124v000000AZIUAA4","","LSEG | Escalation for LSEG's Content Integrations","Not Validated","","Support Operations Manager"
"","000001348","en_US","Other","<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">This article outlines the process for handling incidents related to the E-Sports World Cup (EWC) live streams. It details monitoring responsibilities, triage steps, case creation, and escalation protocols to ensure quick and effective issue resolution.</span></p>","2025-07-07T16:01:09.000Z","en_US","","2025-07-07T16:01:09.000Z","Archived","0124v000000AZIUAA4","","Imagen - Incident Management for EWC Live Streams Monitoring","Not Validated","","Support Operations Manager"
"","000001347","en_US","Other","<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">This FAQ provides essential information for support agents and team members involved in supporting the <em>Esports World Cup (EWC)</em> live streams. It covers key details about the event, support timelines, processes, escalation paths, and service-level expectations. </span></p>","2025-07-07T14:07:04.000Z","en_US","","2025-07-07T14:07:04.000Z","Archived","0126g000000OhcbAAC","","Imagen - FAQ: EWC Live Streams Monitoring","Not Validated","","Support Operations Manager"
"<br><p><br><br><br> </p>

<p> </p>

<div id="""" style=""left: 20px;top: 20px;""> </div>","000001272","en_US","Reuters Connect;Reuters Lives","<span style=""font-size: 14px;""><strong>Daily Outlooks</strong> are the upcoming information&#39;s we are going to file on that day. It will be sent out on WhatsApp Group(Reuters Group Chat) and helpdesk reference for the day. ​<br>​<br>In making the Daily Outlooks, we get the information on EMEA morning meeting and its chat group (meeting starts at 7:30 GMT ends 8:00 GMT). Please do send the daily outlook on WhatsApp before 9:30 GMT. We only get the below outlooks.​</span>
<ul><li>
	<p><span style=""font-size: 14px;"">Daily Outlook Ukraine/Russia Outlooks​</span></p>
	</li><li>
	<p><span style=""font-size: 14px;"">Daily Outlook Other Stories​</span></p>
	</li><li>
	<p><span style=""font-size: 14px;"">Live Outlook ​</span><br>	 </p>
	</li></ul>

<p> </p>","2024-04-20T07:10:37.000Z","en_US","","2025-06-03T23:10:50.000Z","Online","0124v000000AZIZAA4","","EDITORIAL | Creation of Daily Outlooks","Not Validated","","Helpdesk Analyst"
"<p style=""box-sizing: border-box;margin: 0px;padding: 0px;color: #181818;font-family: -apple-system, BlinkMacSystemFont, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif, &#39;Apple Color Emoji&#39;, &#39;Segoe UI Emoji&#39;, &#39;Segoe UI Symbol&#39;;font-size: 14px;white-space: normal;background-color: #ffffff;""><strong style=""box-sizing: border-box;font-weight: var(--lwc-fontWeightBold,700);""><span style=""box-sizing: border-box;font-size: 18px;color: #d64000;""><span style=""box-sizing: border-box;font-family: Arial, Helvetica, sans-serif;"">What do I do if a customer asks for a refund for a canceled account?</span></span></strong></p>
<p style=""box-sizing: border-box;margin: 0px;padding: 0px;color: #181818;font-family: -apple-system, BlinkMacSystemFont, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif, &#39;Apple Color Emoji&#39;, &#39;Segoe UI Emoji&#39;, &#39;Segoe UI Symbol&#39;;font-size: 14px;white-space: normal;background-color: #ffffff;""><span style=""box-sizing: border-box;font-size: 16px;""><span style=""box-sizing: border-box;font-family: Arial, Helvetica, sans-serif;"">When customers have already canceled their account on the app or the web, they are unable to request a refund themselves, s</span></span><span style=""box-sizing: border-box;font-size: 16px;""><span style=""box-sizing: border-box;font-family: Arial, Helvetica, sans-serif;"">o when they contact Support for a refund:</span></span></p>
<ol style=""box-sizing: border-box;padding: 0px;list-style-type: decimal;color: #181818;font-family: -apple-system, BlinkMacSystemFont, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif, &#39;Apple Color Emoji&#39;, &#39;Segoe UI Emoji&#39;, &#39;Segoe UI Symbol&#39;;font-size: 14px;white-space: normal;background-color: #ffffff;margin: 0px 0px var(--lwc-spacingSmall,0.75rem) var(--lwc-spacingLarge,1.5rem);""><li style=""box-sizing: border-box;font-size: 16px;font-family: arial, helvetica, sans-serif;""><span style=""box-sizing: border-box;font-size: 16px;font-family: arial, helvetica, sans-serif;"">Confirm they want a full or a partial refund.</span></li><li style=""box-sizing: border-box;font-size: 16px;font-family: arial, helvetica, sans-serif;""><span style=""box-sizing: border-box;font-size: 16px;font-family: arial, helvetica, sans-serif;"">Find the account on ARC and Zuora and confirm that the entitlement was removed on ARC and that the account shows as cancelled on Zuora.</span></li><li style=""box-sizing: border-box;font-size: 16px;font-family: arial, helvetica, sans-serif;"">Contact the below Billing Ops Specialists over chat and ask them to &quot;revert the cancelation of the subscription&quot;, please provide the Zuora account details for them to assist you.
<ul style=""box-sizing: border-box;padding: 0px;color: #181818;font-family: -apple-system, BlinkMacSystemFont, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif, &#39;Apple Color Emoji&#39;, &#39;Segoe UI Emoji&#39;, &#39;Segoe UI Symbol&#39;;font-size: 14px;white-space: normal;background-color: #ffffff;margin: 0px 0px var(--lwc-spacingSmall,0.75rem) var(--lwc-spacingLarge,1.5rem);""><li style=""box-sizing: border-box;font-size: 16px;font-family: arial, helvetica, sans-serif;"">Phill Mercier </li><li style=""box-sizing: border-box;font-size: 16px;font-family: arial, helvetica, sans-serif;"">Sue Cairney</li><li style=""box-sizing: border-box;font-size: 16px;font-family: arial, helvetica, sans-serif;"">Wendel Fernandez</li></ul>
</li><li style=""box-sizing: border-box;font-size: 16px;font-family: arial, helvetica, sans-serif;"">The Billing Ops Specialist will revert the cancelation and let you know so you can go back to the account and then process the cancelation and refund the customer.</li></ol>","000001298","en_US","Reuters.com","<p><span style=""font-size: 16px;""><span style=""font-family: Arial,Helvetica,sans-serif;"">This document provides the steps on Zuora to manually complete a cancellation with no refund when a Reuter.com Subscriber requests for us to manually cancel their subscription.</span></span><br><br><span style=""font-size: 16px;""><span style=""font-family: Arial,Helvetica,sans-serif;""><span style=""color: #d64000;""><strong>IMPORTANT:</strong></span> We have a flexible refund policy to try to match our customer&#39;s needs, however, the Support Team <strong>NEVER </strong>offers a refund unless the customers request it themselves.</span></span></p>","2024-08-27T22:34:21.000Z","en_US","","2025-05-22T03:09:26.000Z","Online","0124v000000AZIeAAO","","Billing - Cancelation With No Refund (Non-renewal) for Reuters.com","Not Validated","","Support Operations Manager"
"<p><span style=""font-size: 18px;color: #c0392b;""><strong><span style=""font-family: arial, helvetica, sans-serif;"">Customer-Facing FAQs from the Help Center on Reuters.com:</span></strong></span></p>
<p><strong><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">What is included in a subscription?</span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">A subscription gives you unlimited access to Reuters.com, the definitive destination for global intelligence that powers smart decisions. You will have access to all our award-winning global reporting in every format we offer, as well as in-depth coverage of key sectors and industries. Your subscription will also give you unlimited access to our Reuters News mobile application for news at your fingertips wherever you are.</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">______________________________________________________________________________________________________________________________</span></p>
<p><strong><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Why am I still getting advertising after paying for a subscription?</span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Currently, Reuters does not offer an ad-free subscription option. However, if you haven’t already, we recommend downloading the Reuters News mobile app, available on both iOS and Android. The app provides an optimized reading experience with fewer ads than the website.</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">______________________________________________________________________________________________________________________________</span></p>
<p><strong><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Can I still access Reuters without a subscription?</span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Reuters is happy to provide you with free access to a limited number of articles each month. Once you have reached that limit, you will be prompted to subscribe to read an unlimited number of articles on the site. Note that access to certain areas of the site may be subject to additional fees, terms, and conditions.</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">______________________________________________________________________________________________________________________________</span></p>
<p><strong><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">What is your cancellation policy?</span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Your subscription will renew automatically unless you cancel at least 2 days before the renewal date. You are free to cancel your subscription by informing us at the My account page. Cancellation takes effect at the end of your current subscription period without any refunds. For more information, please visit our Terms and Conditions.</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">______________________________________________________________________________________________________________________________</span></p>
<p><strong><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Do you offer group or corporate subscription programs?</span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">We currently offer enterprise-wide subscriptions and will be launching a more expansive group and corporate subscription program shortly. To reduce the volume of low-value requests that take up a lot of time and are worth very little revenue, we have decided that the minimum number of users for a corporate or group subscription is 50. If the subscription is for a small group, 10 people, for example, they need to use the self-serve route, meaning each person needs to subscribe as an individual.</span></p>
<p><strong><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Please use the following template to answer customers about corporate subscriptions: </span></strong></p>
<p><em><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">We currently offer enterprise-wide subscriptions and will be launching a more expansive group and corporate subscription program shortly. </span></em></p>
<p><em><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">We have decided that the minimum number of users for a corporate or group subscription is 50. If you have a small group, 10 people, for example, you can use the self-serve route, meaning each person needs to subscribe as an individual.</span></em></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><strong><span style=""color: #c0392b;"">NOTE</span> for Support:</strong> If a customer requests to be contacted by Sales to discuss organization/corporate subscriptions, please email Phil Andraos (phil.andraos@thomsonreuters.com) with all relevant information. </span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">The subject line of your email should be &quot;Prospect for Reuters.com Group Subscription.&quot; Be sure to include the following details to ensure he can reach the prospect:</span><br><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">- Organization Name</span><br><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">- Organization size: (must be &gt; 50 people)</span><br><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">- Contact Name</span><br><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">- Contact Email</span><br><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">- Contact Phone Number</span><br><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">- Time Zone</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""color: #c0392b;""><strong>IMPORTANT:</strong></span> Phil’s email should NOT be shared externally. Agents must email him directly and never provide his contact information to customers.</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">______________________________________________________________________________________________________________________________</span></p>
<p><strong><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Can I offer a subscription as a gift?</span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">We do not currently offer the option of buying a subscription as a gift, though we are hoping to make this option available in the future.</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Is there a separate offering for Thomson Reuters Legal customers?</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Thomson Reuters Legal customers may be eligible for a group or corporate subscription. For more information, please contact your Thomson Reuters Legal</span><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""> sales representative.</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">______________________________________________________________________________________________________________________________</span></p>
<p><strong><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Do you accept alternative payment methods?</span></strong></p>
<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Unfortunately, alternative payment methods such as PayPal, direct deposit, and electronic wallets are not accepted at this time. We only accept major credit cards (except Discover). As an alternative, you may also use Apple Pay or Google Pay if you subscribe through the Reuters News app on your mobile device.</span></p>","000001305","en_US","Reuters.com","<p><span style=""font-size: 16px;""><span style=""font-family: Arial,Helvetica,sans-serif;"">This document provides FAQs about Subscriptions for Reuters.com customers.</span></span></p>","2024-09-18T21:13:14.000Z","en_US","","2025-05-20T13:02:06.000Z","Online","0126g000000OhcbAAC","","RCOM | [Consumer] Reuters.com Subscriptions FAQs","Not Validated","","Support Operations Manager"
"<p><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Have access to ARC. If you don&#39;t have access to ARC, pleare request it by following the steps under the article: <a href=""https://reuters.lightning.force.com/lightning/r/Knowledge__kav/ka04v0000019SCNAA2/view"" target=""_self"">How to Request Access to ARC</a></span></p>
<p> </p>
<p><span style=""color: #d64000;font-size: 18px;""><strong><span style=""font-family: arial, helvetica, sans-serif;"">Previous steps to verify when customers are having issues receiving emails for Reuters.com</span></strong></span></p>
<ul><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Ensure that the customer checked their spam or junk folders to confirm the verification email was not there. </span></li><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Add &quot;noreply@account.reuters.com&quot; to your email contact list and request a new confirmation email</span></li><li style=""font-family: arial, helvetica, sans-serif;font-size: 16px;""><span style=""font-family: arial, helvetica, sans-serif;font-size: 16px;"">Verify on <a href=""https://app.sparkpost.com/s"" target=""_self"">Sparkpost</a> that there were no emails sent to the customer at all.</span></li></ul>","000001314","en_US","Reuters.com","<p><span style=""font-size: 16px;font-family: arial, helvetica, sans-serif;"">This article provides steps to troubleshoot issues related to customers not receiving emails due to the reCAPTCHA Score blocking communications for customers.</span><span style=""font-size: 16px;font-family: arial, helvetica, sans-serif;""></span></p>","2025-01-24T14:22:44.000Z","en_US","","2025-05-14T18:01:42.000Z","Online","0124v000000AZIUAA4","","Reuters.com - Unable to Receive Emails / Fixing reCAPTCHA","Not Validated","","Helpdesk Analyst"
"","000001031","en_US","Reuters.com","<p><span style=""font-family: Arial, Helvetica, sans-serif;""><span style=""font-size: 11pt;""><span style=""line-height: 107%;"">This document aims to provide the escalation matrix for all Reuters.com issues, including Legacy, Podcasts, Mobile, Audio, and other verticals.</span></span></span></p>","2021-02-10T04:45:12.000Z","en_US","","2025-05-14T17:59:05.000Z","Online","0124v000000AZIUAA4","","Reuters.com - Support and Escalations","Not Validated","","Support Operations Manager"
"<p><span style=""font-size: 18px;color: #d64000;""><strong><span style=""font-family: Arial, Helvetica, sans-serif;"">What Does a Transfer Event Look Like?</span></strong></span></p>
<p><span style=""font-family: Arial, Helvetica, sans-serif;""><span style=""font-size: 16px;"">Make sure you got the Original ARC Profile (<strong>Email A</strong>), the New ARC Profile (<strong>Email B</strong>), and the Timestamp from the alert received from RevenueCat. It will look like this:<br><img alt=""image.png"" src=""https://reuters.file.force.com/servlet/rtaImage?eid=ka0UL0000003CHZ&amp;feoid=00N6g00000UQp54&amp;refid=0EMUL0000046hET"" style=""width: 623px;height: 456px;""></img><br><span style=""font-family: arial, helvetica, sans-serif;""><u>Text Example:</u></span></span></span></p>
<p><span style=""font-size: 16px;font-family: arial, helvetica, sans-serif;"">A subscription transfer event was discovered.</span><br><span style=""font-size: 16px;font-family: arial, helvetica, sans-serif;"">Please transfer subscription with this parameters manually:</span><br><span style=""font-size: 16px;font-family: arial, helvetica, sans-serif;"">RPC-104 Revenuecat subscription transfer event. <span style=""color: #d64000;""><strong>Transferred_from: [57755DBA-7CDF-4253-957C-64377A3DC6BB]</strong></span>, <strong><span style=""color: #d64000;"">Transferred_To: [RCOM:e602d166-a398-4c0e-8a23-12be6d117896], event_timestamp_ms: 1743010992540 </span></strong></span></p>","000001299","en_US","Reuters.com","<span style=""font-size: 16px;""><span style=""font-family: Arial,Helvetica,sans-serif;"">This article outlines the steps for handling subscription transfers between two different email addresses for a subscriber using the same in-app account on their mobile devices when subscribing to Reuters.com.</span></span>","2024-09-05T04:21:02.000Z","en_US","","2025-04-22T15:47:44.000Z","Online","0124v000000AZIUAA4","","Reuters.com - Transferring Mobile Subscriptions","Not Validated","","Support Operations Manager"
"<p>1.When the new inquiry from LSEG arrives, you need to acknowledge it and start the <a href="""" target=""_self"">Editorial support process</a></p>
<p style=""padding-left: 40px;""><strong><span style=""color: #e67e22;"">Please remember, we have 15 min to acknowledge the new inquiry</span></strong></p>
<p>2. Once you find the <strong>journalist</strong>, Reach out of the journalists on Teams</p>
<p><span style=""text-decoration: underline;""><em>Journalists are reached faster vis MS Teams since they don&#39;t check the mailbox very often. </em></span></p>
<p><span style=""text-decoration: underline;""><em>To keep the track of an inquiry history please duplicate your conversation with the journalist in the SalesForce</em></span></p>
<p>3. If you couldn&#39;t find the journalist or the journalist is not available, you need to reach out to the <strong>manager of the journalist</strong></p>
<p>4. Next point of escalation is <strong>Padraic J. Cassidy</strong></p>
<div> </div>
<p>5. In edge cases, the highest point of escalation is <strong>Jonathan Leff </strong></p>
<p><strong>Please find the FULL escalation matrix in the <a href=""https://trten.sharepoint.com.mcas.ms/:x:/r/sites/reutersMTS/_layouts/15/Doc.aspx?sourcedoc=%7BBE11AE35-D6A6-4CDE-9208-7EB9A1429F50%7D&amp;file=RNS%20POC%20Sheet%202025.xlsx&amp;action=default&amp;mobileredirect=true"" target=""_self"">RNS POC.xlsx</a></strong></p>","000001341","en_US","Other","<p>LSEG Editorial support process and Escalation procedure</p>","2025-04-07T15:47:50.000Z","en_US","","2025-04-07T15:47:50.000Z","Online","0124v000000AZIZAA4","","LSEG: Editorial Support & Escalation process","Not Validated","",""
